Participant,Order,Condition,Exercise,Reps,Checkpoint,Deviation,Assessment
3,UM,U,RG,4,3,0,0
3,UM,U,RG,4,4,0,0
3,UM,U,RG,4,5,0,0
3,UM,U,RG,4,6,0,0
3,UM,U,RG,5,1,0,0
3,UM,U,RG,5,2,0,0
3,UM,U,RG,5,3,0,0
3,UM,U,RG,5,4,0,0
3,UM,U,RG,5,5,0,0
3,UM,U,RG,5,6,0,0
3,UM,U,BC,1,1,75,87
3,UM,U,BC,1,2,99,87
3,UM,U,BC,2,1,84,88
3,UM,U,BC,2,2,92,88
3,UM,U,BC,3,1,83,91
3,UM,U,BC,3,2,92,91
3,UM,U,BC,4,1,82,91
3,UM,U,BC,4,2,99,91
3,UM,U,BC,5,1,93,96
3,UM,U,BC,5,2,99,96
3,UM,U,SS,1,1,95,95
3,UM,U,SS,1,2,95,95
3,UM,U,SS,2,1,97,97
3,UM,U,SS,2,2,97,97
3,UM,U,SS,3,1,97,96
3,UM,U,SS,3,2,96,96
3,UM,U,SS,4,1,97,95
3,UM,U,SS,4,2,94,95
3,UM,U,SS,5,1,97,97
3,UM,U,SS,5,2,97,97
3,UM,M,SS,1,1,95,96
3,UM,M,SS,1,2,96,96
3,UM,M,SS,2,1,97,96
3,UM,M,SS,2,2,96,96
3,UM,M,SS,3,1,97,98
3,UM,M,SS,3,2,99,98
3,UM,M,SS,4,1,94,96
3,UM,M,SS,4,2,98,96
3,UM,M,SS,5,1,0,0
3,UM,M,SS,5,2,0,0
3,UM,M,RG,1,1,0,0
3,UM,M,RG,1,2,0,0
3,UM,M,RG,1,3,0,0
3,UM,M,RG,1,4,0,0
3,UM,M,RG,1,5,0,0
3,UM,M,RG,1,6,0,0
3,UM,M,RG,2,1,0,0
3,UM,M,RG,2,2,0,0
3,UM,M,RG,2,3,0,0
3,UM,M,RG,2,4,0,0
3,UM,M,RG,2,5,0,0
3,UM,M,RG,2,6,0,0
3,UM,M,RG,3,1,0,0
3,UM,M,RG,3,2,0,0
3,UM,M,RG,3,3,0,0
3,UM,M,RG,3,4,0,0
3,UM,M,RG,3,5,0,0
3,UM,M,RG,3,6,0,0
3,UM,M,RG,4,1,0,0
3,UM,M,RG,4,2,0,0
3,UM,M,RG,4,3,0,0
3,UM,M,RG,4,4,0,0
3,UM,M,RG,4,5,0,0
3,UM,M,RG,4,6,0,0
3,UM,M,RG,5,1,0,0
3,UM,M,RG,5,2,0,0
3,UM,M,RG,5,3,0,0
3,UM,M,RG,5,4,0,0
3,UM,M,RG,5,5,0,0
3,UM,M,RG,5,6,0,0
3,UM,M,BC,1,1,88,93
3,UM,M,BC,1,2,99,93
3,UM,M,BC,2,1,87,89
3,UM,M,BC,2,2,92,89
3,UM,M,BC,3,1,92,94
